img_id,target,path,is_test,eval_set
cat.11679,1,../input/train/cat.11679.jpg,0,1
dog.2811,0,../input/train/dog.2811.jpg,0,3
dog.2578,0,../input/train/dog.2578.jpg,0,3
dog.9238,0,../input/train/dog.9238.jpg,0,1
dog.7504,0,../input/train/dog.7504.jpg,0,1
dog.11302,0,../input/train/dog.11302.jpg,0,2
dog.11743,0,../input/train/dog.11743.jpg,0,1
cat.8233,1,../input/train/cat.8233.jpg,0,2
cat.1653,1,../input/train/cat.1653.jpg,0,2
cat.12144,1,../input/train/cat.12144.jpg,0,4
dog.634,0,../input/train/dog.634.jpg,0,3
cat.2354,1,../input/train/cat.2354.jpg,0,4
cat.1097,1,../input/train/cat.1097.jpg,0,3
cat.7757,1,../input/train/cat.7757.jpg,0,4
dog.1038,0,../input/train/dog.1038.jpg,0,2
cat.4755,1,../input/train/cat.4755.jpg,0,2
dog.9031,0,../input/train/dog.9031.jpg,0,4
cat.6217,1,../input/train/cat.6217.jpg,0,0
dog.9326,0,../input/train/dog.9326.jpg,0,3
dog.5225,0,../input/train/dog.5225.jpg,0,1
cat.3745,1,../input/train/cat.3745.jpg,0,2
dog.1171,0,../input/train/dog.1171.jpg,0,3
dog.5806,0,../input/train/dog.5806.jpg,0,2
cat.5632,1,../input/train/cat.5632.jpg,0,2
dog.10270,0,../input/train/dog.10270.jpg,0,4
cat.2277,1,../input/train/cat.2277.jpg,0,4
cat.952,1,../input/train/cat.952.jpg,0,2
dog.9791,0,../input/train/dog.9791.jpg,0,2
cat.9311,1,../input/train/cat.9311.jpg,0,3
cat.2505,1,../input/train/cat.2505.jpg,0,0
cat.8848,1,../input/train/cat.8848.jpg,0,0
dog.489,0,../input/train/dog.489.jpg,0,1
dog.2907,0,../input/train/dog.2907.jpg,0,3
dog.7340,0,../input/train/dog.7340.jpg,0,2
cat.6801,1,../input/train/cat.6801.jpg,0,0
dog.928,0,../input/train/dog.928.jpg,0,0
dog.12072,0,../input/train/dog.12072.jpg,0,2
cat.9701,1,../input/train/cat.9701.jpg,0,3
dog.1961,0,../input/train/dog.1961.jpg,0,1
dog.10853,0,../input/train/dog.10853.jpg,0,2
cat.11450,1,../input/train/cat.11450.jpg,0,4
cat.6351,1,../input/train/cat.6351.jpg,0,1
cat.8458,1,../input/train/cat.8458.jpg,0,1
dog.3403,0,../input/train/dog.3403.jpg,0,2
cat.5266,1,../input/train/cat.5266.jpg,0,0
cat.6682,1,../input/train/cat.6682.jpg,0,3
dog.12166,0,../input/train/dog.12166.jpg,0,0
cat.10286,1,../input/train/cat.10286.jpg,0,1
dog.6251,0,../input/train/dog.6251.jpg,0,3
dog.9228,0,../input/train/dog.9228.jpg,0,1
cat.3436,1,../input/train/cat.3436.jpg,0,1
dog.11880,0,../input/train/dog.11880.jpg,0,2
dog.5181,0,../input/train/dog.5181.jpg,0,0
dog.4827,0,../input/train/dog.4827.jpg,0,4
dog.8061,0,../input/train/dog.8061.jpg,0,0
dog.8851,0,../input/train/dog.8851.jpg,0,4
cat.3090,1,../input/train/cat.3090.jpg,0,2
cat.10018,1,../input/train/cat.10018.jpg,0,0
cat.415,1,../input/train/cat.415.jpg,0,3
cat.1584,1,../input/train/cat.1584.jpg,0,0
cat.9818,1,../input/train/cat.9818.jpg,0,4
cat.162,1,../input/train/cat.162.jpg,0,2
dog.9711,0,../input/train/dog.9711.jpg,0,1
dog.8744,0,../input/train/dog.8744.jpg,0,2
dog.4288,0,../input/train/dog.4288.jpg,0,2
cat.4208,1,../input/train/cat.4208.jpg,0,2
dog.2727,0,../input/train/dog.2727.jpg,0,3
cat.7560,1,../input/train/cat.7560.jpg,0,4
cat.1178,1,../input/train/cat.1178.jpg,0,2
dog.10673,0,../input/train/dog.10673.jpg,0,0
cat.7976,1,../input/train/cat.7976.jpg,0,2
dog.5555,0,../input/train/dog.5555.jpg,0,3
dog.2077,0,../input/train/dog.2077.jpg,0,1
cat.1145,1,../input/train/cat.1145.jpg,0,2
cat.5219,1,../input/train/cat.5219.jpg,0,3
dog.6082,0,../input/train/dog.6082.jpg,0,0
cat.7474,1,../input/train/cat.7474.jpg,0,3
cat.11092,1,../input/train/cat.11092.jpg,0,4
dog.9863,0,../input/train/dog.9863.jpg,0,3
cat.8883,1,../input/train/cat.8883.jpg,0,2
dog.5954,0,../input/train/dog.5954.jpg,0,3
dog.7161,0,../input/train/dog.7161.jpg,0,2
dog.8076,0,../input/train/dog.8076.jpg,0,4
dog.2092,0,../input/train/dog.2092.jpg,0,1
dog.4536,0,../input/train/dog.4536.jpg,0,1
dog.5399,0,../input/train/dog.5399.jpg,0,1
dog.4380,0,../input/train/dog.4380.jpg,0,4
dog.11670,0,../input/train/dog.11670.jpg,0,1
dog.3470,0,../input/train/dog.3470.jpg,0,1
dog.6263,0,../input/train/dog.6263.jpg,0,4
cat.4538,1,../input/train/cat.4538.jpg,0,1
cat.1801,1,../input/train/cat.1801.jpg,0,0
cat.9825,1,../input/train/cat.9825.jpg,0,2
dog.6296,0,../input/train/dog.6296.jpg,0,3
dog.5907,0,../input/train/dog.5907.jpg,0,1
cat.1143,1,../input/train/cat.1143.jpg,0,2
dog.605,0,../input/train/dog.605.jpg,0,3
dog.8648,0,../input/train/dog.8648.jpg,0,4
cat.6199,1,../input/train/cat.6199.jpg,0,2
dog.8261,0,../input/train/dog.8261.jpg,0,0
cat.6701,1,../input/train/cat.6701.jpg,0,2
cat.7545,1,../input/train/cat.7545.jpg,0,0
dog.9866,0,../input/train/dog.9866.jpg,0,0
cat.5757,1,../input/train/cat.5757.jpg,0,0
cat.9005,1,../input/train/cat.9005.jpg,0,3
dog.6055,0,../input/train/dog.6055.jpg,0,4
cat.4012,1,../input/train/cat.4012.jpg,0,2
dog.7085,0,../input/train/dog.7085.jpg,0,2
dog.9190,0,../input/train/dog.9190.jpg,0,3
cat.4142,1,../input/train/cat.4142.jpg,0,1
dog.107,0,../input/train/dog.107.jpg,0,2
dog.2483,0,../input/train/dog.2483.jpg,0,1
dog.10660,0,../input/train/dog.10660.jpg,0,4
cat.2595,1,../input/train/cat.2595.jpg,0,1
dog.9995,0,../input/train/dog.9995.jpg,0,2
dog.7469,0,../input/train/dog.7469.jpg,0,1
dog.3750,0,../input/train/dog.3750.jpg,0,1
dog.5267,0,../input/train/dog.5267.jpg,0,4
dog.10404,0,../input/train/dog.10404.jpg,0,3
cat.11768,1,../input/train/cat.11768.jpg,0,0
dog.11235,0,../input/train/dog.11235.jpg,0,3
dog.4643,0,../input/train/dog.4643.jpg,0,0
dog.2004,0,../input/train/dog.2004.jpg,0,3
dog.11135,0,../input/train/dog.11135.jpg,0,1
dog.7603,0,../input/train/dog.7603.jpg,0,2
cat.2219,1,../input/train/cat.2219.jpg,0,4
cat.10490,1,../input/train/cat.10490.jpg,0,4
cat.11359,1,../input/train/cat.11359.jpg,0,0
cat.6299,1,../input/train/cat.6299.jpg,0,1
cat.5492,1,../input/train/cat.5492.jpg,0,1
dog.2358,0,../input/train/dog.2358.jpg,0,1
dog.7880,0,../input/train/dog.7880.jpg,0,2
dog.5855,0,../input/train/dog.5855.jpg,0,3
cat.8363,1,../input/train/cat.8363.jpg,0,0
cat.7593,1,../input/train/cat.7593.jpg,0,0
cat.64,1,../input/train/cat.64.jpg,0,1
cat.9129,1,../input/train/cat.9129.jpg,0,4
cat.10913,1,../input/train/cat.10913.jpg,0,1
cat.10863,1,../input/train/cat.10863.jpg,0,4
dog.9538,0,../input/train/dog.9538.jpg,0,0
cat.11446,1,../input/train/cat.11446.jpg,0,1
cat.12107,1,../input/train/cat.12107.jpg,0,4
cat.4788,1,../input/train/cat.4788.jpg,0,2
dog.11757,0,../input/train/dog.11757.jpg,0,3
dog.8006,0,../input/train/dog.8006.jpg,0,2
dog.8080,0,../input/train/dog.8080.jpg,0,4
dog.7660,0,../input/train/dog.7660.jpg,0,0
cat.4406,1,../input/train/cat.4406.jpg,0,0
dog.3439,0,../input/train/dog.3439.jpg,0,4
dog.4096,0,../input/train/dog.4096.jpg,0,1
cat.11140,1,../input/train/cat.11140.jpg,0,0
cat.12440,1,../input/train/cat.12440.jpg,0,3
dog.9065,0,../input/train/dog.9065.jpg,0,4
cat.6493,1,../input/train/cat.6493.jpg,0,4
dog.1725,0,../input/train/dog.1725.jpg,0,3
dog.5995,0,../input/train/dog.5995.jpg,0,4
cat.9981,1,../input/train/cat.9981.jpg,0,3
dog.11762,0,../input/train/dog.11762.jpg,0,1
cat.5328,1,../input/train/cat.5328.jpg,0,2
dog.5915,0,../input/train/dog.5915.jpg,0,4
cat.10059,1,../input/train/cat.10059.jpg,0,1
dog.176,0,../input/train/dog.176.jpg,0,4
cat.5512,1,../input/train/cat.5512.jpg,0,4
dog.56,0,../input/train/dog.56.jpg,0,4
dog.10662,0,../input/train/dog.10662.jpg,0,1
dog.8587,0,../input/train/dog.8587.jpg,0,4
dog.9687,0,../input/train/dog.9687.jpg,0,4
dog.11118,0,../input/train/dog.11118.jpg,0,0
cat.7287,1,../input/train/cat.7287.jpg,0,0
dog.11988,0,../input/train/dog.11988.jpg,0,1
cat.11490,1,../input/train/cat.11490.jpg,0,2
dog.9982,0,../input/train/dog.9982.jpg,0,2
cat.5900,1,../input/train/cat.5900.jpg,0,3
dog.4809,0,../input/train/dog.4809.jpg,0,2
dog.4895,0,../input/train/dog.4895.jpg,0,4
cat.11229,1,../input/train/cat.11229.jpg,0,0
